Type,Date,Description,Category,Amount,Account
Credit,2026-01-01,Salary,Salary,85000,HDFC Bank
Credit,2026-01-02,Freelance Project,Salary,25000,ICICI Bank
Debit,2026-01-03,Amazon Shopping,Shopping,4500,HDFC Bank
Debit,2026-01-04,Swiggy Order,Food,850,ICICI Bank
Debit,2026-01-05,Zomato Order,Food,620,HDFC Bank
Debit,2026-01-06,BigBasket,Groceries,3200,HDFC Bank
Debit,2026-01-07,Milk,Groceries,150,ICICI Bank
Debit,2026-01-08,Vegetables,Groceries,450,HDFC Bank
Debit,2026-01-09,Groceries,Groceries,1800,ICICI Bank
Debit,2026-01-10,Electricity Bill,Bills,2200,HDFC Bank
Debit,2026-01-11,Water Bill,Bills,350,ICICI Bank
Debit,2026-01-12,Internet Bill,Bills,1200,HDFC Bank
Debit,2026-01-13,Netflix Subscription,Entertainment,649,ICICI Bank
Debit,2026-01-14,Petrol,Travel,2500,HDFC Bank
Debit,2026-01-15,Uber Ride,Travel,380,ICICI Bank
Debit,2026-01-16,Bus Pass,Travel,1500,HDFC Bank
Debit,2026-01-17,Medicine,Health,1200,ICICI Bank
Debit,2026-01-18,Pharmacy,Health,850,HDFC Bank
Debit,2026-01-19,Restaurant,Food,1800,ICICI Bank
Debit,2026-01-20,Coffee Shop,Food,250,HDFC Bank
Debit,2026-01-21,Shopping,Shopping,3500,ICICI Bank
Debit,2026-01-22,Movie Tickets,Entertainment,600,HDFC Bank
Debit,2026-01-23,Gym Membership,Health,2000,ICICI Bank
Debit,2026-01-24,Travel Booking,Travel,8500,HDFC Bank
Transfer,2026-01-25,Transfer to Savings,Transfer,10000,HDFC Bank
Debit,2026-01-26,ATM Withdrawal,Transfer,5000,ICICI Bank
Credit,2026-01-27,Interest,Investment,1200,HDFC Bank
Credit,2026-01-28,Cash Deposit,Transfer,3000,ICICI Bank
Credit,2026-02-01,Salary,Salary,85000,HDFC Bank
Debit,2026-02-02,Amazon Shopping,Shopping,2800,ICICI Bank
Debit,2026-02-03,Swiggy Order,Food,720,HDFC Bank
Debit,2026-02-04,Zomato Order,Food,580,ICICI Bank
Debit,2026-02-05,BigBasket,Groceries,2800,HDFC Bank
Debit,2026-02-06,Milk,Groceries,150,ICICI Bank
Debit,2026-02-07,Vegetables,Groceries,380,HDFC Bank
Debit,2026-02-08,Groceries,Groceries,1500,ICICI Bank
Debit,2026-02-09,Electricity Bill,Bills,2200,HDFC Bank
Debit,2026-02-10,Water Bill,Bills,350,ICICI Bank
Debit,2026-02-11,Internet Bill,Bills,1200,HDFC Bank
Debit,2026-02-12,Netflix Subscription,Entertainment,649,ICICI Bank
Debit,2026-02-13,Petrol,Travel,2200,HDFC Bank
Debit,2026-02-14,Uber Ride,Travel,420,ICICI Bank
Debit,2026-02-15,Bus Pass,Travel,1500,HDFC Bank
Debit,2026-02-16,Medicine,Health,950,ICICI Bank
Debit,2026-02-17,Pharmacy,Health,720,HDFC Bank
Debit,2026-02-18,Restaurant,Food,1650,ICICI Bank
Debit,2026-02-19,Coffee Shop,Food,280,HDFC Bank
Debit,2026-02-20,Shopping,Shopping,4200,ICICI Bank
Debit,2026-02-21,Movie Tickets,Entertainment,550,HDFC Bank
Debit,2026-02-22,Gym Membership,Health,2000,ICICI Bank
Debit,2026-02-23,Travel Booking,Travel,6200,HDFC Bank
Transfer,2026-02-24,Transfer to Savings,Transfer,15000,HDFC Bank
Debit,2026-02-25,ATM Withdrawal,Transfer,3000,ICICI Bank
Credit,2026-02-26,Freelance Project,Salary,18000,ICICI Bank
Credit,2026-02-27,Interest,Investment,1500,HDFC Bank
Credit,2026-03-01,Salary,Salary,85000,HDFC Bank
